Game Name,Price,Discount,Reviews,Tags,Release Date,Publisher
Ready or Not,$49.99,0%,Very Positive,"Tactical, Realistic, FPS, Shooter, Multiplayer, Singleplayer, Co-op, Horror, First-Person, Action, Psychological Horror, Violent, Gun Customization, Combat, Crime, Gore, Modern, Atmospheric, Co-op Campaign, VR","Dec 13, 2023",VOID Interactive
Monster Hunter Wilds,$29.39,-58%,Mixed,"Hunting, Action, Multiplayer, Online Co-Op, Co-op, Character Customization, Dragons, Open World, Third Person, Dating Sim, Action RPG, Adventure, Fantasy, RPG, Cute, Singleplayer, Atmospheric, Great Soundtrack, Underwater, Souls-like","Feb 27, 2025","CAPCOM Co., Ltd."
Resident Evil Requiem,$55.99,-20%,Very Positive,"Survival Horror, Zombies, Horror, Third-Person Shooter, Action, FPS, First-Person, Action-Adventure, Singleplayer, Cinematic, Realistic, 3D, Dark, Story Rich, Female Protagonist, Post-apocalyptic, Violent, Inventory Management, Modern, Gore","Feb 26, 2026","CAPCOM Co., Ltd."
Fallout 76,$147.92,0%,Mixed,"Open World, Multiplayer, Post-apocalyptic, RPG, Dark Comedy, Capitalism, Survival, Base Building, Co-op, Shooter, MMORPG, Horror, Singleplayer, Exploration, FPS, Gore, Violent, Atmospheric, Great Soundtrack, Character Customization","Apr 14, 2020",Bethesda Softworks
PUBG: BATTLEGROUNDS,Free To Play,0%,Mostly Positive,"Survival, Shooter, Battle Royale, Multiplayer, FPS, PvP, Third-Person Shooter, Action, Online Co-Op, Tactical, Co-op, First-Person, Strategy, Early Access, Competitive, Third Person, Team-Based, Difficult, Simulation, Stealth","Dec 21, 2017","KRAFTON, Inc."
Once Human,Free To Play,0%,Very Positive,"Free to Play, Survival, Multiplayer, Open World Survival Craft, Co-op, Open World, Base Building, Post-apocalyptic, Adventure, Massively Multiplayer, Horror, Third Person, Online Co-Op, Shooter, Singleplayer, PvP, RPG, Action-Adventure, Simulation, MMORPG","Jul 9, 2024","Starry Studio, NetEase Games"
Dinoblade,$17.99,-10%,Very Positive,"Dinosaurs, Souls-like, Action RPG, Combat, Action, Singleplayer, 3D, RPG, Third Person, Fantasy, Hack and Slash, PvE, Boss Rush, Magic, Linear, Dark Fantasy, Indie, Nature, Casual, Action-Adventure","Jul 23, 2026","Team Spino LLC, Boltray Games"
DELTARUNE,$35.98,0%,Overwhelmingly Positive,"Story Rich, Great Soundtrack, Pixel Graphics, Funny, RPG, Singleplayer, Bullet Hell, Emotional, 2D, Comedy, Fantasy, Soundtrack, Music, Mystery, Dark, Action RPG, Episodic, Retro, JRPG, Surreal","Jun 4, 2025",tobyfox
ARK: Survival Ascended,$59.98,0%,Mixed,"Early Access, Survival, Open World, Multiplayer, Dinosaurs, Base Building, Crafting, Building, Adventure, Sandbox, Action, Character Customization, PvE, Singleplayer, PvP, Massively Multiplayer, Inventory Management, RPG, Fantasy, Sci-fi","Oct 25, 2023","Studio Wildcard, Snail Games USA"
Schedule I,$19.99,0%,Overwhelmingly Positive,"Simulation, Crime, Co-op, Management, Multiplayer, Open World, First-Person, Crafting, Automation, Base Building, Action, Building, Stealth, Strategy, Character Customization, Driving, Shooter, Early Access, FPS, Indie","Mar 24, 2025",TVGS
Tainted Grail: The Fall of Avalon,$22.49,-50%,Very Positive,"RPG, Adventure, Open World, Dark Fantasy, First-Person, Character Customization, Exploration, Third Person, Singleplayer, Action RPG, Choices Matter, Story Rich, Action, Nonlinear, Survival Horror, Multiple Endings, Immersive, Narrative, Immersive Sim, FPS","May 23, 2025",Awaken Realms
Escape the Backrooms,$17.08,-5%,Very Positive,"Horror, Multiplayer, Online Co-Op, Psychological Horror, Co-op, Survival Horror, First-Person, Escape Room, Exploration, Adventure, 3D, Singleplayer, Action, Indie, Stealth, Action-Adventure, Casual, Dungeon Crawler, Early Access, Sexual Content","Oct 23, 2025",Secret Mode
Resident Evil 4,$9.99,-75%,Overwhelmingly Positive,"Horror, Action, Third-Person Shooter, Survival Horror, Singleplayer, Zombies, Story Rich, Survival, Remake, Dark, Cinematic, Gore, Third Person, Realistic, VR, Resource Management, Adventure, Action-Adventure, Violent, Psychological Horror","Mar 23, 2023","CAPCOM Co., Ltd."
N/A,Free to Play / Not Available,0%,N/A,N/A,N/A,N/A
Crimson Desert,$69.99,0%,Mostly Positive,"Open World, Action, Singleplayer, Exploration, Adventure, Combat, Fantasy, Medieval, Action-Adventure, RPG, Dragons, Third Person, Choose Your Own Adventure, Story Rich, Horses, PvE, 3D, Artificial Intelligence, Gore, Souls-like","Mar 19, 2026",Pearl Abyss
The Sims™ 4,$59.97,0%,Very Positive,"Life Sim, Free to Play, Character Customization, Building, Simulation, Romance, Singleplayer, Sandbox, Dating Sim, Casual, Relaxing, Realistic, Funny, Family Friendly, Cute, Immersive Sim, Fantasy, Adventure, Cartoony, Nudity","Sep 2, 2014",Electronic Arts
THE FINALS,Free To Play,0%,Mostly Positive,"Destruction, Free to Play, FPS, Multiplayer, Shooter, PvP, Team-Based, Competitive, Action, First-Person, Arena Shooter, Tactical, Character Customization, Online Co-Op, Combat, Co-op, Class-Based, Atmospheric, Realistic, Battle Royale","Dec 7, 2023",Embark Studios
iRacing,Free to Play / Not Available,0%,Mostly Positive,"Racing, Automobile Sim, Simulation, VR, Driving, Sports, Multiplayer, Realistic, Massively Multiplayer, Singleplayer, Controller, eSports, First-Person, Action, Split Screen, Competitive, TrackIR","Jan 12, 2015","iRacing.com Motorsport Simulations, iRacing"
Path of Exile,Free To Play,0%,Very Positive,"Free to Play, Action RPG, Dark Fantasy, Hack and Slash, Loot, MMORPG, Multiplayer, Dungeon Crawler, Isometric, RPG, Character Customization, Online Co-Op, Singleplayer, Inventory Management, Action, PvP, Horror, Massively Multiplayer, Fantasy, Adventure","Oct 23, 2013",Grinding Gear Games
Street Fighter™ 6,$19.99,-50%,Mostly Positive,"2D Fighter, Fighting, Arcade, Character Customization, Multiplayer, Action, PvP, Competitive, Adventure, Local Multiplayer, eSports, Singleplayer, Controller, Martial Arts, Open World, 3D, Action RPG, Great Soundtrack, Female Protagonist, Psychological Horror","Jun 1, 2023","CAPCOM Co., Ltd."
R.E.P.O.,$6.49,-35%,Very Positive,"Horror, Online Co-Op, Multiplayer, Comedy, Co-op, Physics, First-Person, 3D, Stealth, Survival, Robots, Exploration, Funny, Action, Action Roguelike, Procedural Generation, Post-apocalyptic, Sci-fi, Perma Death, Early Access","Feb 26, 2025",semiwork
Paralives,$53.98,0%,Very Positive,"Life Sim, Character Customization, Simulation, Building, Indie, Open World, Singleplayer, LGBTQ+, Sandbox, Relaxing, Casual, Early Access, Cute, Cozy, Family Friendly, Moddable, Sexual Content, Realistic, Immersive Sim, Atmospheric","May 25, 2026",Paralives Studio
Burglin' Gnomes,$7.99,-20%,Very Positive,"Co-op, Funny, Multiplayer, First-Person, PvE, Exploration, Horror, Action, Physics, Heist, Stealth, Loot, 3D, Action-Adventure, Adventure, Crafting, Procedural Generation, Survival Horror, Stylized, Atmospheric","Jun 10, 2026",Fobri
Season 4 Battlefield Pro - Battlefield™ 6 and REDSEC,$24.99,0%,Positive,Action,"Jul 21, 2026",Electronic Arts
Windrose,$37.98,0%,Very Positive,"Early Access, Pirates, Online Co-Op, Open World Survival Craft, Survival, Crafting, PvE, Exploration, Naval Combat, Building, Sailing, Open World, Base Building, Massively Multiplayer, Adventure, PvP, Combat, Action-Adventure, Third Person, Action","Apr 14, 2026","Kraken Express, Pocketpair Publishing (Japan)"
Satisfactory,$27.99,-30%,Overwhelmingly Positive,"Base Building, Automation, Open World, Crafting, Multiplayer, Co-op, Building, Resource Management, Sandbox, Exploration, Open World Survival Craft, Adventure, Survival, First-Person, Simulation, Strategy, Singleplayer, Sci-fi, Indie, Early Access","Sep 10, 2024",Coffee Stain Publishing
Stellaris,$285.20,0%,Mostly Positive,"Space, Strategy, Grand Strategy, Sci-fi, 4X, Exploration, Sandbox, Simulation, Multiplayer, Real-Time with Pause, Singleplayer, Moddable, Management, Diplomacy, Military, Futuristic, Replay Value, Great Soundtrack, Procedural Generation, Atmospheric","May 9, 2016",Paradox Interactive
NBA 2K26,$69.99,0%,Mixed,"Sports, Basketball, Simulation, 3D, Multiplayer, eSports, Controller, Singleplayer, Character Customization, Management, PvP, Team-Based, Online Co-Op, Trading, Local Multiplayer, LGBTQ+, Co-op, Local Co-Op, Gambling, Immersive Sim","Sep 4, 2025",2K
American Truck Simulator,$48.48,0%,Overwhelmingly Positive,"Automobile Sim, Driving, Open World, Simulation, Transportation, Realistic, Moddable, Relaxing, Exploration, Economy, Management, Atmospheric, Immersive Sim, Multiplayer, Singleplayer, Adventure, Casual, Family Friendly, Level Editor, First-Person","Feb 2, 2016",SCS Software
EA SPORTS™ College Football 27,$97.98,0%,Mostly Negative,"Simulation, Sports, Competitive, Multiplayer, Football (American), PvP, Co-op, Local Co-Op, Strategy, Online Co-Op, Local Multiplayer, Singleplayer, Cinematic, Realistic, Controller","Jul 9, 2026",Electronic Arts
N/A,Free to Play / Not Available,0%,N/A,N/A,N/A,N/A
Diablo® IV,$49.99,0%,Mixed,"Action RPG, Hack and Slash, Loot, Isometric, RPG, Online Co-Op, Dungeon Crawler, Multiplayer, Co-op, Singleplayer, PvE, Demons, Dark, Fantasy, Character Customization, Dark Fantasy, MMORPG, Gore, Story Rich, Exploration","Oct 17, 2023","Blizzard Entertainment, Inc."
RimWorld,$76.47,0%,Overwhelmingly Positive,"Colony Sim, Base Building, Survival, Strategy, Management, Sandbox, Singleplayer, Moddable, Simulation, Sci-fi, Story Rich, Replay Value, Open World, 2D, Procedural Generation, Indie, City Builder, Tactical RPG, Building, Atmospheric","Oct 17, 2018",Ludeon Studios
No Man's Sky,$23.99,-60%,Very Positive,"Open World, Space, Open World Survival Craft, Exploration, Sci-fi, Survival, Multiplayer, Procedural Generation, Adventure, Sandbox, First-Person, Singleplayer, Atmospheric, Crafting, Space Sim, Indie, Action, Simulation, VR, FPS","Aug 12, 2016",Hello Games
Overwatch®,Free To Play,0%,Mixed,"Free to Play, Hero Shooter, FPS, Multiplayer, Team-Based, First-Person, MOBA, Third-Person Shooter, Third Person, PvP, Competitive, Shooter, Action, Co-op, Sci-fi, Online Co-Op, Casual, PvE, Cinematic, Lore-Rich","Aug 10, 2023","Blizzard Entertainment, Inc."
Phasmophobia,$13.99,-30%,Very Positive,"Horror, Online Co-Op, Multiplayer, Psychological Horror, Co-op, VR, Supernatural, First-Person, Investigation, Dark, Detective, Demons, Mystery, Thriller, 3D, Early Access, Indie, Action, Tactical, Singleplayer","Sep 18, 2020",Kinetic Games
METAL GEAR & METAL GEAR 2: Solid Snake,$9.99,-50%,Mostly Positive,"Action, Action-Adventure, Adventure, Exploration, 2D Platformer, Stealth, 2D, Top-Down Shooter, Pixel Graphics, Cinematic, Top-Down, 1990's, Military, War, Tactical, Tanks, Singleplayer, Story Rich, Violent, Classic","Oct 24, 2023",KONAMI
